DATE,Close Price,Net Change,Percentage change
13-Jan-12,6127.56,156.52,2.621318899
20-Jan-12,6168.7,41.14,0.671392855
27-Jan-12,6261.23,92.53,1.499991895
03-Feb-12,6411.72,150.49,2.403521353
10-Feb-12,6347.1,-64.62,-1.00784189
17-Feb-12,6375.3,28.2,0.444297396
24-Feb-12,6279.22,-96.08,-1.507066334
02-Mar-12,6404.95,125.73,2.002318759
09-Mar-12,6444.41,39.46,0.616085996
16-Mar-12,6354.34,-90.07,-1.397645401
23-Mar-12,6466.76,112.42,1.769184526
30-Mar-12,6625.74,158.98,2.458418126
09-Apr-12,6590.81,-34.93,-0.527186397
13-Apr-12,6693.95,103.14,1.564906286
20-Apr-12,6815.95,122,1.82254125
27-Apr-12,6752.13,-63.82,-0.93633316
04-May-12,6802.75,50.62,0.749689357
11-May-12,6574.07,-228.68,-3.361581713
18-May-12,6617.65,43.58,0.662907453
25-May-12,6640.08,22.43,0.338942072
28-May-12,6677.4,37.32,0.562041421
29-May-12,6657.45,-19.95,-0.298768982
30-May-12,6650.18,-7.27,-0.10920097
31-May-12,6645.31,-4.87,-0.073231101
01-Jun-12,6556.96,-88.35,-1.329509082
08-Jun-12,6634.98,78.02,1.189880676
15-Jun-12,6580.21,-54.77,-0.825473475
22-Jun-12,6709.57,129.36,1.965894705
29-Jun-12,6883.89,174.32,2.598080056
06-Jul-12,6941.97,58.08,0.843709008
13-Jul-12,6931.01,-10.96,-0.157880256
20-Jul-12,6989.04,58.03,0.837251714
27-Jul-12,6976.78,-12.26,-0.175417511
03-Aug-12,7275.17,298.39,4.276901379
10-Aug-12,7291.81,16.64,0.228723178
17-Aug-12,7338.52,46.71,0.640581694
24-Aug-12,7420.13,81.61,1.112077095
31-Aug-12,7495.6,75.47,1.017098083
07-Sep-12,7550.36,54.76,0.73056193
14-Sep-12,7521.99,-28.37,-0.375743673
21-Sep-12,7357.8,-164.19,-2.18280003
28-Sep-12,7528.41,170.61,2.318763761
05-Oct-12,7427.15,-101.26,-1.345038328
12-Oct-12,7570.13,142.98,1.92509913
19-Oct-12,7520.64,-49.49,-0.653753634
26-Oct-12,7478.57,-42.07,-0.559393881
02-Nov-12,7714.98,236.41,3.161165838
09-Nov-12,7752.75,37.77,0.48956705
16-Nov-12,7686.05,-66.7,-0.860339879
23-Nov-12,7703.04,16.99,0.221049824
30-Nov-12,7946.48,243.44,3.160310734
07-Dec-12,7971.07,24.59,0.309445188
14-Dec-12,7982.33,11.26,0.141260835
21-Dec-12,8059.61,77.28,0.968138376
28-Dec-12,8127.78,68.17,0.845822565
04-Jan-13,8205.97,78.19,0.962009306
11-Jan-13,8139.87,-66.1,-0.80551111
18-Jan-13,8067.4,-72.47,-0.890309059
25-Jan-13,7991.49,-75.91,-0.940947517
01-Feb-13,8079.3,87.81,1.098793842
08-Feb-13,7874.42,-204.88,-2.535863255
15-Feb-13,7899.28,24.86,0.315705792
22-Feb-13,8019.85,120.57,1.526341641
01-Mar-13,7819.11,-200.74,-2.503039334
08-Mar-13,8058.51,239.4,3.061729532
15-Mar-13,8059.45,0.94,0.011664687
22-Mar-13,7952.69,-106.76,-1.324656149
28-Mar-13,8008.09,55.4,0.696619634
05-Apr-13,8208.56,200.47,2.503343494
12-Apr-13,8289.1,80.54,0.981170875
18-Apr-13,8447.51,158.41,1.911063927
26-Apr-13,8624.83,177.32,2.099080084
03-May-13,8759.44,134.61,1.560726414
10-May-13,8768.68,9.24,0.105486196
17-May-13,9164.19,395.51,4.510485044
24-May-13,8729.72,-434.47,-4.740953647
31-May-13,8846.91,117.19,1.342425645
07-Jun-13,8891.92,45.01,0.508765207
14-Jun-13,8715.11,-176.81,-1.988434444
21-Jun-13,8657.12,-57.99,-0.665396077
28-Jun-13,8845.26,188.14,2.173240061
05-Jul-13,9083.1,237.84,2.688897783
12-Jul-13,9385.12,302.02,3.32507624
19-Jul-13,9346.05,-39.07,-0.416297288
26-Jul-13,9185.6,-160.45,-1.716768046
02-Aug-13,8999.88,-185.72,-2.021860303
08-Aug-13,8809.1,-190.78,-2.119806042
16-Aug-13,8984.74,175.64,1.993847272
23-Aug-13,8660.56,-324.18,-3.608117764
30-Aug-13,8965.59,305.03,3.52205862
06-Sep-13,9148.59,183,2.041137282
13-Sep-13,9375.16,226.57,2.476556497
20-Sep-13,9327.45,-47.71,-0.508897982
27-Sep-13,9472.27,144.82,1.552621563
04-Oct-13,9572.95,100.68,1.062891999
11-Oct-13,9783.94,210.99,2.204022793
18-Oct-13,9747.2,-36.74,-0.375513341
25-Oct-13,9573.3,-173.9,-1.784102101
01-Nov-13,9633.3,60,0.626743129
08-Nov-13,9667.63,34.33,0.356368015
14-Nov-13,9646.14,-21.49,-0.222288193
22-Nov-13,9465.36,-180.78,-1.874117523
29-Nov-13,9500.86,35.5,0.375051768
06-Dec-13,9510.61,9.75,0.102622289
09-Dec-13,9526.89,16.28,0.171177243
13-Dec-13,9410.82,-116.07,-1.218340928
20-Dec-13,9905.26,494.44,5.253952365
27-Dec-13,9987.85,82.59,0.833799416
03-Jan-14,10015.43,27.58,0.276135505
10-Jan-14,10246.78,231.35,2.309935769
17-Jan-14,10165.96,-80.82,-0.788735583
24-Jan-14,10182.79,16.83,0.165552491
31-Jan-14,10109.76,-73.03,-0.717190475
07-Feb-14,10336.85,227.09,2.246245213
14-Feb-14,10152.69,-184.16,-1.781587234
21-Feb-14,10369.63,216.94,2.136773604
28-Feb-14,10839.95,470.32,4.535552377
07-Mar-14,10370.31,-469.64,-4.332492309
14-Mar-14,10196.57,-173.74,-1.675359753
21-Mar-14,10258.21,61.64,0.604517009
28-Mar-14,10072.73,-185.48,-1.808112721
04-Apr-14,10389.76,317.03,3.147408895
11-Apr-14,10532.09,142.33,1.369906523
17-Apr-14,10504.49,-27.6,-0.262056249
25-Apr-14,10619.78,115.29,1.097530675
02-May-14,10857.67,237.89,2.240065237
09-May-14,10675.41,-182.26,-1.678629024
16-May-14,10322.94,-352.47,-3.301699888
23-May-14,10073.03,-249.91,-2.420918847
30-May-14,10315.41,242.38,2.406227322
06-Jun-14,10333.91,18.5,0.179343332
13-Jun-14,10760.2,426.29,4.125156886
20-Jun-14,10817.48,57.28,0.532332113
27-Jun-14,11259.64,442.16,4.087458447
04-Jul-14,11819.33,559.69,4.970762831
11-Jul-14,11729.06,-90.27,-0.763748876
18-Jul-14,11832.28,103.22,0.880036422
25-Jul-14,12136.47,304.19,2.57084856
01-Aug-14,12146.1,9.63,0.079347619
08-Aug-14,12092.41,-53.69,-0.442034892
14-Aug-14,12524.3,431.89,3.571579197
22-Aug-14,13189.77,665.47,5.313430691
28-Aug-14,13356.87,167.1,1.266890931
05-Sep-14,13760.39,403.52,3.021067061
12-Sep-14,13797.13,36.74,0.266998246
19-Sep-14,13991.07,193.94,1.405654654
26-Sep-14,13855.85,-135.22,-0.966473615
01-Oct-14,14299.27,443.42,3.200236723
10-Oct-14,13702.33,-596.94,-4.174618704
17-Oct-14,13467.15,-235.18,-1.716350431
23-Oct-14,13921.69,454.54,3.375175891
31-Oct-14,14354.01,432.32,3.10537011
07-Nov-14,14884.58,530.57,3.696319008
14-Nov-14,14840.27,-44.31,-0.29769063
21-Nov-14,14893.7,53.43,0.360033881
28-Nov-14,14956.57,62.87,0.422124791
05-Dec-14,14929.33,-27.24,-0.182127319
12-Dec-14,14946.38,17.05,0.114204723
19-Dec-14,14399.02,-547.36,-3.66215766
26-Dec-14,14409.51,10.49,0.07285218
02-Jan-15,14720.21,310.7,2.156214889
09-Jan-15,14691.08,-29.13,-0.197891199
16-Jan-15,14894.27,203.19,1.383084157
23-Jan-15,15506.76,612.49,4.112252564
30-Jan-15,15666.51,159.75,1.030195863
06-Feb-15,15219.81,-446.7,-2.851305109
13-Feb-15,15857.69,637.88,4.191116709
20-Feb-15,15808.64,-49.05,-0.309313652
27-Feb-15,15539.5,-269.14,-1.702486741
13-Mar-15,16842.62,1303.12,8.385855401
20-Mar-15,17049.16,206.54,1.226293771
27-Mar-15,16952.05,-97.11,-0.569588179
10-Apr-15,18160.87,1208.82,7.130818986
